Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"[Clostridium] algidixylanolyticum strain SPL73 16S ribosomal RNA, partial sequence",Lacrimispora algidixylanolytica,433,433,99%,3e-121,97.62,1502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_028726.1?report=genbank&log$=nucltop&blast_rank=1&RID=8SD63M2W01N"",""NR_028726.1"")"
"[Clostridium] xylanolyticum strain DSM 6555 16S ribosomal RNA, partial sequence",Lacrimispora xylanolytica,433,433,99%,3e-121,97.62,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_037068.1?report=genbank&log$=nucltop&blast_rank=2&RID=8SD63M2W01N"",""NR_037068.1"")"
"[Clostridium] asparagiforme strain N6 16S ribosomal RNA, partial sequence",Enterocloster asparagiformis,427,427,99%,1e-119,97.23,1468,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_042200.1?report=genbank&log$=nucltop&blast_rank=3&RID=8SD63M2W01N"",""NR_042200.1"")"
"[Clostridium] lavalense strain CCRI-9842 16S ribosomal RNA, partial sequence",Enterocloster lavalensis,427,427,99%,1e-119,97.23,1454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_044289.1?report=genbank&log$=nucltop&blast_rank=4&RID=8SD63M2W01N"",""NR_044289.1"")"
"[Clostridium] aerotolerans strain DSM 5434 16S ribosomal RNA, partial sequence",Lacrimispora aerotolerans,425,425,99%,5e-119,97.22,1470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119068.1?report=genbank&log$=nucltop&blast_rank=5&RID=8SD63M2W01N"",""NR_119068.1"")"
"Bacteroides xylanolyticus strain X5-1 16S ribosomal RNA, partial sequence",Hungatella xylanolytica,422,422,99%,6e-118,96.83,1480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104899.1?report=genbank&log$=nucltop&blast_rank=6&RID=8SD63M2W01N"",""NR_104899.1"")"
"[Clostridium] sphenoides JCM 1415 strain ATCC 19403 16S ribosomal RNA, partial sequence",[Clostridium] sphenoides JCM 1415,422,422,99%,6e-118,96.83,1504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112174.1?report=genbank&log$=nucltop&blast_rank=7&RID=8SD63M2W01N"",""NR_112174.1"")"
"[Clostridium] celerecrescens 18A 16S ribosomal RNA, partial sequence",[Clostridium] celerecrescens 18A,422,422,99%,6e-118,96.83,1215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112654.1?report=genbank&log$=nucltop&blast_rank=8&RID=8SD63M2W01N"",""NR_112654.1"")"
"[Clostridium] celerecrescens 18A 16S ribosomal RNA, partial sequence",[Clostridium] celerecrescens 18A,422,422,99%,6e-118,96.83,1499,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026100.1?report=genbank&log$=nucltop&blast_rank=9&RID=8SD63M2W01N"",""NR_026100.1"")"
"[Desulfotomaculum] guttoideum strain DSM 4024 16S ribosomal RNA, partial sequence",Lacrimispora sphenoides,422,422,99%,6e-118,96.83,1495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026409.1?report=genbank&log$=nucltop&blast_rank=10&RID=8SD63M2W01N"",""NR_026409.1"")"
"Lachnoclostridium pacaense strain Marseille-P3100 16S ribosomal RNA, partial sequence",Lachnoclostridium pacaense,416,416,99%,3e-116,96.43,1453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_147396.1?report=genbank&log$=nucltop&blast_rank=11&RID=8SD63M2W01N"",""NR_147396.1"")"
"[Clostridium] saccharolyticum strain WM1 16S ribosomal RNA, partial sequence",Lacrimispora saccharolytica,416,416,99%,3e-116,96.43,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_102852.1?report=genbank&log$=nucltop&blast_rank=12&RID=8SD63M2W01N"",""NR_102852.1"")"
"[Clostridium] amygdalinum strain BR-10 16S ribosomal RNA, partial sequence",Lacrimispora amygdalina,416,416,99%,3e-116,96.43,1485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_115211.1?report=genbank&log$=nucltop&blast_rank=13&RID=8SD63M2W01N"",""NR_115211.1"")"
"Kineothrix alysoides strain KNHs209 16S ribosomal RNA, partial sequence",Kineothrix alysoides,416,416,99%,3e-116,96.43,1411,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156081.1?report=genbank&log$=nucltop&blast_rank=14&RID=8SD63M2W01N"",""NR_156081.1"")"
"Kineothrix alysoides strain KNHs209 16S ribosomal RNA, partial sequence",Kineothrix alysoides,416,416,99%,3e-116,96.43,1412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156079.1?report=genbank&log$=nucltop&blast_rank=15&RID=8SD63M2W01N"",""NR_156079.1"")"
"Kineothrix alysoides strain KNHs209 16S ribosomal RNA, partial sequence",Kineothrix alysoides,416,416,99%,3e-116,96.43,1412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156078.1?report=genbank&log$=nucltop&blast_rank=16&RID=8SD63M2W01N"",""NR_156078.1"")"
"[Clostridium] methoxybenzovorans SR3 16S ribosomal RNA, partial sequence",[Clostridium] methoxybenzovorans SR3,416,416,99%,3e-116,96.43,1514,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_024917.1?report=genbank&log$=nucltop&blast_rank=17&RID=8SD63M2W01N"",""NR_024917.1"")"
"[Clostridium] saccharolyticum strain WM1 16S ribosomal RNA, partial sequence",Lacrimispora saccharolytica,416,416,99%,3e-116,96.43,1499,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026494.1?report=genbank&log$=nucltop&blast_rank=18&RID=8SD63M2W01N"",""NR_026494.1"")"
