Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Muribaculum intestinale strain YL27 16S ribosomal RNA, partial sequence",Muribaculum intestinale,350,350,100%,3e-96,91.67,1460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144616.1?report=genbank&log$=nucltop&blast_rank=1&RID=8SC7JHW701N"",""NR_144616.1"")"
"Duncaniella freteri strain TLL-A3 16S ribosomal RNA, partial sequence",Duncaniella freteri,311,311,100%,1e-84,88.98,1538,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_170509.1?report=genbank&log$=nucltop&blast_rank=2&RID=8SC7JHW701N"",""NR_170509.1"")"
"Parabacteroides distasonis ATCC 8503 16S ribosomal RNA, partial sequence",Parabacteroides distasonis ATCC 8503,283,283,100%,3e-76,87.01,1497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_074376.1?report=genbank&log$=nucltop&blast_rank=3&RID=8SC7JHW701N"",""NR_074376.1"")"
"Parabacteroides distasonis strain JCM 5825 16S ribosomal RNA, partial sequence",Parabacteroides distasonis,283,283,100%,3e-76,87.01,1488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041342.1?report=genbank&log$=nucltop&blast_rank=4&RID=8SC7JHW701N"",""NR_041342.1"")"
"Porphyromonas pogonae strain MI 10-1288 16S ribosomal RNA, partial sequence",Porphyromonas pogonae,272,272,100%,6e-73,86.33,1429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136443.1?report=genbank&log$=nucltop&blast_rank=5&RID=8SC7JHW701N"",""NR_136443.1"")"
"Barnesiella intestinihominis strain JCM 15079 16S ribosomal RNA, partial sequence",Barnesiella intestinihominis,255,255,100%,6e-68,84.98,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113073.1?report=genbank&log$=nucltop&blast_rank=6&RID=8SC7JHW701N"",""NR_113073.1"")"
"Barnesiella intestinihominis YIT 11860 16S ribosomal RNA, partial sequence",Barnesiella intestinihominis YIT 11860,255,255,100%,6e-68,84.98,1484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041668.1?report=genbank&log$=nucltop&blast_rank=7&RID=8SC7JHW701N"",""NR_041668.1"")"
"Barnesiella viscericola strain C46 16S ribosomal RNA, complete sequence",Barnesiella viscericola,250,250,100%,3e-66,84.58,1532,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_121773.2?report=genbank&log$=nucltop&blast_rank=8&RID=8SC7JHW701N"",""NR_121773.2"")"
"Barnesiella viscericola strain C46 16S ribosomal RNA, partial sequence",Barnesiella viscericola,250,250,100%,3e-66,84.58,1461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041508.1?report=genbank&log$=nucltop&blast_rank=9&RID=8SC7JHW701N"",""NR_041508.1"")"
"Gabonia massiliensis strain GM3 16S ribosomal RNA, partial sequence",Gabonia massiliensis,244,244,100%,1e-64,84.25,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144725.1?report=genbank&log$=nucltop&blast_rank=10&RID=8SC7JHW701N"",""NR_144725.1"")"
"Coprobacter secundus strain 177 16S ribosomal RNA, partial sequence",Coprobacter secundus,244,244,100%,1e-64,84.25,1290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_145883.1?report=genbank&log$=nucltop&blast_rank=11&RID=8SC7JHW701N"",""NR_145883.1"")"
"Parabacteroides merdae ATCC 43184 16S ribosomal RNA, partial sequence",Parabacteroides merdae ATCC 43184,239,239,100%,6e-63,83.86,1405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119166.1?report=genbank&log$=nucltop&blast_rank=12&RID=8SC7JHW701N"",""NR_119166.1"")"
"Parabacteroides chongii strain YMC B3181 16S ribosomal RNA, partial sequence",Parabacteroides chongii,239,239,100%,6e-63,83.86,1523,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_165699.1?report=genbank&log$=nucltop&blast_rank=13&RID=8SC7JHW701N"",""NR_165699.1"")"
"Bacteroides coprophilus strain CB42 16S ribosomal RNA, partial sequence",Phocaeicola coprophilus,239,239,100%,6e-63,83.98,1492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041461.1?report=genbank&log$=nucltop&blast_rank=14&RID=8SC7JHW701N"",""NR_041461.1"")"
"Parabacteroides merdae strain JCM 9497 16S ribosomal RNA, partial sequence",Parabacteroides merdae,239,239,100%,6e-63,83.86,1492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041343.1?report=genbank&log$=nucltop&blast_rank=15&RID=8SC7JHW701N"",""NR_041343.1"")"
"Pontibacter indicus strain LP100 16S ribosomal RNA, partial sequence",Pontibacter indicus,233,233,100%,3e-61,83.66,1426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_125665.1?report=genbank&log$=nucltop&blast_rank=16&RID=8SC7JHW701N"",""NR_125665.1"")"
"Porphyromonas pasteri strain KUFDS01 16S ribosomal RNA, partial sequence",Porphyromonas pasteri,233,233,100%,3e-61,83.53,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136788.1?report=genbank&log$=nucltop&blast_rank=17&RID=8SC7JHW701N"",""NR_136788.1"")"
"Bacteroides salanitronis strain DSM 18170 16S ribosomal RNA, partial sequence",Phocaeicola salanitronis,233,233,100%,3e-61,83.46,1520,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_074616.1?report=genbank&log$=nucltop&blast_rank=18&RID=8SC7JHW701N"",""NR_074616.1"")"
"Bacteroides caecigallinarum strain C13EG111 16S ribosomal RNA, partial sequence",Bacteroides caecigallinarum,233,233,100%,3e-61,83.46,1489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_145844.1?report=genbank&log$=nucltop&blast_rank=19&RID=8SC7JHW701N"",""NR_145844.1"")"
"Falsiporphyromonas endometrii strain LMM 40 16S ribosomal RNA, partial sequence",Falsiporphyromonas endometrii,233,233,100%,3e-61,83.59,1459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_133742.1?report=genbank&log$=nucltop&blast_rank=20&RID=8SC7JHW701N"",""NR_133742.1"")"
"Dysgonomonas mossii strain CCUG 43457 16S ribosomal RNA, partial sequence",Dysgonomonas mossii,233,233,100%,3e-61,83.53,1451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_025484.1?report=genbank&log$=nucltop&blast_rank=21&RID=8SC7JHW701N"",""NR_025484.1"")"
"Pontibacter beigongshangensis strain T6-1 16S ribosomal RNA, partial sequence",Pontibacter beigongshangensis,233,233,100%,3e-61,83.53,1443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_165736.1?report=genbank&log$=nucltop&blast_rank=22&RID=8SC7JHW701N"",""NR_165736.1"")"
"Pontibacter amylolyticus strain 9-2 16S ribosomal RNA, partial sequence",Pontibacter amylolyticus,233,233,100%,3e-61,83.66,1446,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_148858.1?report=genbank&log$=nucltop&blast_rank=23&RID=8SC7JHW701N"",""NR_148858.1"")"
"Dysgonomonas mossii DSM 22836 strain JCM 16699 16S ribosomal RNA, partial sequence",Dysgonomonas mossii DSM 22836,233,233,100%,3e-61,83.53,1488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113135.1?report=genbank&log$=nucltop&blast_rank=24&RID=8SC7JHW701N"",""NR_113135.1"")"
"Porphyromonas catoniae ATCC 51270 strain JCM 13863 16S ribosomal RNA, partial sequence",Porphyromonas catoniae ATCC 51270,233,233,100%,3e-61,83.53,1451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113082.1?report=genbank&log$=nucltop&blast_rank=25&RID=8SC7JHW701N"",""NR_113082.1"")"
