Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Muribaculum intestinale strain YL27 16S ribosomal RNA, partial sequence",Muribaculum intestinale,372,372,100%,6e-103,93.28,1460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144616.1?report=genbank&log$=nucltop&blast_rank=1&RID=8SCEZZ6101N"",""NR_144616.1"")"
"Duncaniella freteri strain TLL-A3 16S ribosomal RNA, partial sequence",Duncaniella freteri,305,305,100%,6e-83,88.54,1538,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_170509.1?report=genbank&log$=nucltop&blast_rank=2&RID=8SCEZZ6101N"",""NR_170509.1"")"
"Gabonia massiliensis strain GM3 16S ribosomal RNA, partial sequence",Gabonia massiliensis,263,263,100%,4e-70,85.49,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144725.1?report=genbank&log$=nucltop&blast_rank=3&RID=8SCEZZ6101N"",""NR_144725.1"")"
"Coprobacter secundus strain 177 16S ribosomal RNA, partial sequence",Coprobacter secundus,263,263,100%,4e-70,85.49,1290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_145883.1?report=genbank&log$=nucltop&blast_rank=4&RID=8SCEZZ6101N"",""NR_145883.1"")"
"Coprobacter fastidiosus NSB1 16S ribosomal RNA, partial sequence",Coprobacter fastidiosus NSB1,257,257,100%,2e-68,85.21,1490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_118316.1?report=genbank&log$=nucltop&blast_rank=5&RID=8SCEZZ6101N"",""NR_118316.1"")"
"Porphyromonas pogonae strain MI 10-1288 16S ribosomal RNA, partial sequence",Porphyromonas pogonae,257,257,100%,2e-68,85.16,1429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136443.1?report=genbank&log$=nucltop&blast_rank=6&RID=8SCEZZ6101N"",""NR_136443.1"")"
"Porphyromonas catoniae ATCC 51270 strain JCM 13863 16S ribosomal RNA, partial sequence",Porphyromonas catoniae ATCC 51270,257,257,100%,2e-68,85.10,1451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113082.1?report=genbank&log$=nucltop&blast_rank=7&RID=8SCEZZ6101N"",""NR_113082.1"")"
"Porphyromonas catoniae ATCC 51270 16S ribosomal RNA, partial sequence",Porphyromonas catoniae ATCC 51270,254,254,100%,2e-67,84.71,1470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026230.1?report=genbank&log$=nucltop&blast_rank=8&RID=8SCEZZ6101N"",""NR_026230.1"")"
"Porphyromonas pasteri strain KUFDS01 16S ribosomal RNA, partial sequence",Porphyromonas pasteri,252,252,100%,8e-67,84.71,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136788.1?report=genbank&log$=nucltop&blast_rank=9&RID=8SCEZZ6101N"",""NR_136788.1"")"
"Parabacteroides chinchillae strain JCM 17104 16S ribosomal RNA, partial sequence",Parabacteroides chinchillae,252,252,100%,8e-67,84.65,1489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113208.1?report=genbank&log$=nucltop&blast_rank=10&RID=8SCEZZ6101N"",""NR_113208.1"")"
