Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Clostridioides difficile ATCC 9689 = DSM 1296 16S ribosomal RNA, partial sequence",Clostridioides difficile ATCC 9689 = DSM 1296,448,448,100%,1e-125,98.81,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112172.1?report=genbank&log$=nucltop&blast_rank=1&RID=3FZP08UR013"",""NR_112172.1"")"
"Clostridioides difficile ATCC 9689 = DSM 1296 strain JCM 1296 16S ribosomal RNA, partial sequence",Clostridioides difficile ATCC 9689 = DSM 1296,448,448,100%,1e-125,98.81,1464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113132.1?report=genbank&log$=nucltop&blast_rank=2&RID=3FZP08UR013"",""NR_113132.1"")"
"Asaccharospora irregularis DSM 2635 16S ribosomal RNA, partial sequence",Asaccharospora irregularis DSM 2635,429,429,100%,4e-120,97.62,1489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119034.1?report=genbank&log$=nucltop&blast_rank=3&RID=3FZP08UR013"",""NR_119034.1"")"
"Intestinibacter bartlettii strain WAL 16138 16S ribosomal RNA, partial sequence",Intestinibacter bartlettii,425,425,100%,5e-119,97.22,1429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_027573.1?report=genbank&log$=nucltop&blast_rank=4&RID=3FZP08UR013"",""NR_027573.1"")"
"[Eubacterium] tenue strain ATCC 25553 16S ribosomal RNA, partial sequence",[Eubacterium] tenue,403,403,100%,2e-112,95.63,1295,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_115798.1?report=genbank&log$=nucltop&blast_rank=5&RID=3FZP08UR013"",""NR_115798.1"")"
"[Eubacterium] tenue strain ATCC 25553 16S ribosomal RNA, partial sequence",[Eubacterium] tenue,403,403,100%,2e-112,95.63,1123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_115797.1?report=genbank&log$=nucltop&blast_rank=6&RID=3FZP08UR013"",""NR_115797.1"")"
"[Eubacterium] tenue strain ATCC 25553 16S ribosomal RNA, partial sequence",[Eubacterium] tenue,403,403,100%,2e-112,95.63,1248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_115796.1?report=genbank&log$=nucltop&blast_rank=7&RID=3FZP08UR013"",""NR_115796.1"")"
"[Eubacterium] tenue strain ATCC 25553 16S ribosomal RNA, partial sequence",[Eubacterium] tenue,403,403,100%,2e-112,95.63,1238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_115794.1?report=genbank&log$=nucltop&blast_rank=8&RID=3FZP08UR013"",""NR_115794.1"")"
"[Eubacterium] tenue strain DSM 20695 16S ribosomal RNA, partial sequence",[Eubacterium] tenue,403,403,100%,2e-112,95.63,1492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_117174.1?report=genbank&log$=nucltop&blast_rank=9&RID=3FZP08UR013"",""NR_117174.1"")"
"Terrisporobacter petrolearius strain LAM0A37 16S ribosomal RNA, partial sequence",Terrisporobacter petrolearius,403,403,100%,2e-112,95.63,1405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_137408.1?report=genbank&log$=nucltop&blast_rank=10&RID=3FZP08UR013"",""NR_137408.1"")"
"[Eubacterium] tenue strain DSM 20695 16S ribosomal RNA, partial sequence",[Eubacterium] tenue,403,403,100%,2e-112,95.63,1495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104812.1?report=genbank&log$=nucltop&blast_rank=11&RID=3FZP08UR013"",""NR_104812.1"")"
"Terrisporobacter glycolicus ATCC 14880 = DSM 1288 16S ribosomal RNA, partial sequence",Terrisporobacter glycolicus ATCC 14880 = DSM 1288,398,398,100%,1e-110,95.24,1461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119074.1?report=genbank&log$=nucltop&blast_rank=12&RID=3FZP08UR013"",""NR_119074.1"")"
"[Eubacterium] tenue strain ATCC 25553 16S ribosomal RNA, partial sequence",[Eubacterium] tenue,398,398,100%,1e-110,95.24,1280,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_115795.1?report=genbank&log$=nucltop&blast_rank=13&RID=3FZP08UR013"",""NR_115795.1"")"
"Paeniclostridium sordellii strain JCM 3814 16S ribosomal RNA, partial sequence",Paeniclostridium sordellii,398,398,100%,1e-110,95.24,1463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113140.1?report=genbank&log$=nucltop&blast_rank=14&RID=3FZP08UR013"",""NR_113140.1"")"
"Terrisporobacter mayombei strain SFC-5 16S ribosomal RNA, partial sequence",Terrisporobacter mayombei,398,398,100%,1e-110,95.24,1494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104744.1?report=genbank&log$=nucltop&blast_rank=15&RID=3FZP08UR013"",""NR_104744.1"")"
"[Eubacterium] tenue strain ATCC 25553 16S ribosomal RNA, partial sequence",[Eubacterium] tenue,396,396,100%,4e-110,94.84,1361,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_118732.2?report=genbank&log$=nucltop&blast_rank=16&RID=3FZP08UR013"",""NR_118732.2"")"
"Paeniclostridium ghonii strain JCM 1400 16S ribosomal RNA, partial sequence",Paeniclostridium ghonii,392,392,100%,5e-109,94.84,1463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104696.1?report=genbank&log$=nucltop&blast_rank=17&RID=3FZP08UR013"",""NR_104696.1"")"
"Paeniclostridium sordellii strain ATCC 9714 16S ribosomal RNA, partial sequence",Paeniclostridium sordellii,390,390,100%,2e-108,94.84,1461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112173.1?report=genbank&log$=nucltop&blast_rank=18&RID=3FZP08UR013"",""NR_112173.1"")"
"Romboutsia timonensis strain DR1 16S ribosomal RNA, partial sequence",Romboutsia timonensis,387,387,100%,2e-107,94.44,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144740.1?report=genbank&log$=nucltop&blast_rank=19&RID=3FZP08UR013"",""NR_144740.1"")"
"Paeniclostridium ghonii strain NCIMB 10636 16S ribosomal RNA, partial sequence",Paeniclostridium ghonii,385,385,100%,8e-107,94.44,1495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119036.1?report=genbank&log$=nucltop&blast_rank=20&RID=3FZP08UR013"",""NR_119036.1"")"
"[Clostridium] hiranonis strain TO-931 16S ribosomal RNA, partial sequence",Peptacetobacter hiranonis,381,381,100%,1e-105,94.05,1393,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_028611.1?report=genbank&log$=nucltop&blast_rank=21&RID=3FZP08UR013"",""NR_028611.1"")"
"Clostridioides mangenotii strain DSM 1289 16S ribosomal RNA, partial sequence",Clostridioides mangenotii,381,381,100%,1e-105,94.05,1493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104729.1?report=genbank&log$=nucltop&blast_rank=22&RID=3FZP08UR013"",""NR_104729.1"")"
"Paraclostridium bifermentans strain ATCC 638 16S ribosomal RNA, partial sequence",Paraclostridium bifermentans,375,375,100%,5e-104,93.68,1451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119066.1?report=genbank&log$=nucltop&blast_rank=23&RID=3FZP08UR013"",""NR_119066.1"")"
"Paraclostridium benzoelyticum strain JC272 16S ribosomal RNA, partial sequence",Paraclostridium benzoelyticum,375,375,100%,5e-104,93.68,1490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_148815.1?report=genbank&log$=nucltop&blast_rank=24&RID=3FZP08UR013"",""NR_148815.1"")"
"[Clostridium] thermoalcaliphilum strain DSM 7309 16S ribosomal RNA, partial sequence",[Clostridium] thermoalcaliphilum,375,375,100%,5e-104,93.68,1546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_117154.1?report=genbank&log$=nucltop&blast_rank=25&RID=3FZP08UR013"",""NR_117154.1"")"
"Paraclostridium bifermentans strain JCM 1386 16S ribosomal RNA, partial sequence",Paraclostridium bifermentans,375,375,100%,5e-104,93.68,1463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113323.1?report=genbank&log$=nucltop&blast_rank=26&RID=3FZP08UR013"",""NR_113323.1"")"
"[Clostridium] paradoxum JW-YL-7 = DSM 7308 16S ribosomal RNA, partial sequence",[Clostridium] paradoxum JW-YL-7 = DSM 7308,370,370,100%,2e-102,93.28,1452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119335.1?report=genbank&log$=nucltop&blast_rank=27&RID=3FZP08UR013"",""NR_119335.1"")"
"[Clostridium] paradoxum JW-YL-7 = DSM 7308 16S ribosomal RNA, partial sequence",[Clostridium] paradoxum JW-YL-7 = DSM 7308,370,370,100%,2e-102,93.28,1573,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119334.1?report=genbank&log$=nucltop&blast_rank=28&RID=3FZP08UR013"",""NR_119334.1"")"
"[Clostridium] paradoxum JW-YL-7 = DSM 7308 16S ribosomal RNA, partial sequence",[Clostridium] paradoxum JW-YL-7 = DSM 7308,370,370,100%,2e-102,93.28,1548,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119333.1?report=genbank&log$=nucltop&blast_rank=29&RID=3FZP08UR013"",""NR_119333.1"")"
"[Clostridium] paradoxum JW-YL-7 = DSM 7308 16S ribosomal RNA, partial sequence",[Clostridium] paradoxum JW-YL-7 = DSM 7308,370,370,100%,2e-102,93.28,1574,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119329.1?report=genbank&log$=nucltop&blast_rank=30&RID=3FZP08UR013"",""NR_119329.1"")"
