Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Muribaculum intestinale strain YL27 16S ribosomal RNA, partial sequence",Muribaculum intestinale,388,388,100%,6e-108,94.44,1460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144616.1?report=genbank&log$=nucltop&blast_rank=1&RID=44S5TNSM016"",""NR_144616.1"")"
"Duncaniella freteri strain TLL-A3 16S ribosomal RNA, partial sequence",Duncaniella freteri,344,344,100%,1e-94,91.34,1538,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_170509.1?report=genbank&log$=nucltop&blast_rank=2&RID=44S5TNSM016"",""NR_170509.1"")"
"Coprobacter fastidiosus NSB1 16S ribosomal RNA, partial sequence",Coprobacter fastidiosus NSB1,261,261,100%,1e-69,85.49,1490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_118316.1?report=genbank&log$=nucltop&blast_rank=3&RID=44S5TNSM016"",""NR_118316.1"")"
"Porphyromonas pasteri strain KUFDS01 16S ribosomal RNA, partial sequence",Porphyromonas pasteri,255,255,100%,6e-68,85.16,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136788.1?report=genbank&log$=nucltop&blast_rank=4&RID=44S5TNSM016"",""NR_136788.1"")"
"Barnesiella intestinihominis strain JCM 15079 16S ribosomal RNA, partial sequence",Barnesiella intestinihominis,255,255,100%,6e-68,85.04,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113073.1?report=genbank&log$=nucltop&blast_rank=5&RID=44S5TNSM016"",""NR_113073.1"")"
"Barnesiella intestinihominis YIT 11860 16S ribosomal RNA, partial sequence",Barnesiella intestinihominis YIT 11860,255,255,100%,6e-68,85.04,1484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041668.1?report=genbank&log$=nucltop&blast_rank=6&RID=44S5TNSM016"",""NR_041668.1"")"
"Parabacteroides merdae ATCC 43184 16S ribosomal RNA, partial sequence",Parabacteroides merdae ATCC 43184,250,250,100%,3e-66,84.77,1405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119166.1?report=genbank&log$=nucltop&blast_rank=7&RID=44S5TNSM016"",""NR_119166.1"")"
"Coprobacter secundus strain 177 16S ribosomal RNA, partial sequence",Coprobacter secundus,250,250,100%,3e-66,84.65,1290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_145883.1?report=genbank&log$=nucltop&blast_rank=8&RID=44S5TNSM016"",""NR_145883.1"")"
"Gabonia massiliensis strain GM3 16S ribosomal RNA, partial sequence",Gabonia massiliensis,250,250,100%,3e-66,84.65,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144725.1?report=genbank&log$=nucltop&blast_rank=9&RID=44S5TNSM016"",""NR_144725.1"")"
"Porphyromonas pogonae strain MI 10-1288 16S ribosomal RNA, partial sequence",Porphyromonas pogonae,250,250,100%,3e-66,84.71,1429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136443.1?report=genbank&log$=nucltop&blast_rank=10&RID=44S5TNSM016"",""NR_136443.1"")"
"Parabacteroides merdae strain JCM 9497 16S ribosomal RNA, partial sequence",Parabacteroides merdae,250,250,100%,3e-66,84.77,1492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041343.1?report=genbank&log$=nucltop&blast_rank=11&RID=44S5TNSM016"",""NR_041343.1"")"
"Parabacteroides johnsonii strain M-165 16S ribosomal RNA, partial sequence",Parabacteroides johnsonii,250,250,100%,3e-66,84.71,1492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041464.1?report=genbank&log$=nucltop&blast_rank=12&RID=44S5TNSM016"",""NR_041464.1"")"
"Porphyromonas catoniae ATCC 51270 strain JCM 13863 16S ribosomal RNA, partial sequence",Porphyromonas catoniae ATCC 51270,250,250,100%,3e-66,84.77,1451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113082.1?report=genbank&log$=nucltop&blast_rank=13&RID=44S5TNSM016"",""NR_113082.1"")"
"Porphyromonas catoniae ATCC 51270 16S ribosomal RNA, partial sequence",Porphyromonas catoniae ATCC 51270,246,246,100%,4e-65,84.38,1470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026230.1?report=genbank&log$=nucltop&blast_rank=14&RID=44S5TNSM016"",""NR_026230.1"")"
"Barnesiella viscericola strain C46 16S ribosomal RNA, complete sequence",Barnesiella viscericola,244,244,100%,1e-64,84.31,1532,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_121773.2?report=genbank&log$=nucltop&blast_rank=15&RID=44S5TNSM016"",""NR_121773.2"")"
"Fermentimonas caenicola strain ING2-E5B 16S ribosomal RNA, partial sequence",Fermentimonas caenicola,244,244,100%,1e-64,84.38,1523,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_148809.1?report=genbank&log$=nucltop&blast_rank=16&RID=44S5TNSM016"",""NR_148809.1"")"
"Bacteroides caecigallinarum strain C13EG111 16S ribosomal RNA, partial sequence",Bacteroides caecigallinarum,244,244,100%,1e-64,84.25,1489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_145844.1?report=genbank&log$=nucltop&blast_rank=17&RID=44S5TNSM016"",""NR_145844.1"")"
"Lascolabacillus massiliensis strain SIT8 16S ribosomal RNA, partial sequence",Lascolabacillus massiliensis,244,244,100%,1e-64,84.38,1493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144720.1?report=genbank&log$=nucltop&blast_rank=18&RID=44S5TNSM016"",""NR_144720.1"")"
