Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Muribaculum intestinale strain YL27 16S ribosomal RNA, partial sequence",Muribaculum intestinale,327,327,100%,1e-89,90.08,1460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144616.1?report=genbank&log$=nucltop&blast_rank=1&RID=44RNU00S013"",""NR_144616.1"")"
"Porphyromonas pasteri strain KUFDS01 16S ribosomal RNA, partial sequence",Porphyromonas pasteri,289,289,100%,6e-78,87.45,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136788.1?report=genbank&log$=nucltop&blast_rank=2&RID=44RNU00S013"",""NR_136788.1"")"
"Porphyromonas catoniae ATCC 51270 strain JCM 13863 16S ribosomal RNA, partial sequence",Porphyromonas catoniae ATCC 51270,283,283,100%,3e-76,87.06,1451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113082.1?report=genbank&log$=nucltop&blast_rank=3&RID=44RNU00S013"",""NR_113082.1"")"
"Porphyromonas catoniae ATCC 51270 16S ribosomal RNA, partial sequence",Porphyromonas catoniae ATCC 51270,279,279,100%,4e-75,86.67,1470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026230.1?report=genbank&log$=nucltop&blast_rank=4&RID=44RNU00S013"",""NR_026230.1"")"
"Porphyromonas pogonae strain MI 10-1288 16S ribosomal RNA, partial sequence",Porphyromonas pogonae,278,278,100%,1e-74,86.77,1429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136443.1?report=genbank&log$=nucltop&blast_rank=5&RID=44RNU00S013"",""NR_136443.1"")"
"Coprobacter secundus strain 177 16S ribosomal RNA, partial sequence",Coprobacter secundus,261,261,100%,1e-69,85.49,1290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_145883.1?report=genbank&log$=nucltop&blast_rank=6&RID=44RNU00S013"",""NR_145883.1"")"
"Gabonia massiliensis strain GM3 16S ribosomal RNA, partial sequence",Gabonia massiliensis,261,261,100%,1e-69,85.49,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144725.1?report=genbank&log$=nucltop&blast_rank=7&RID=44RNU00S013"",""NR_144725.1"")"
"Rufibacter soli strain FJY1 16S ribosomal RNA, partial sequence",Rufibacter soli,261,261,100%,1e-69,85.60,1444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_169379.1?report=genbank&log$=nucltop&blast_rank=8&RID=44RNU00S013"",""NR_169379.1"")"
"Falsiporphyromonas endometrii strain LMM 40 16S ribosomal RNA, partial sequence",Falsiporphyromonas endometrii,255,255,100%,6e-68,85.27,1459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_133742.1?report=genbank&log$=nucltop&blast_rank=9&RID=44RNU00S013"",""NR_133742.1"")"
"Rufibacter glacialis strain MDT1-10-3 16S ribosomal RNA, partial sequence",Rufibacter glacialis,255,255,100%,6e-68,85.21,1460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_147754.1?report=genbank&log$=nucltop&blast_rank=10&RID=44RNU00S013"",""NR_147754.1"")"
"Duncaniella freteri strain TLL-A3 16S ribosomal RNA, partial sequence",Duncaniella freteri,255,255,100%,6e-68,85.16,1538,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_170509.1?report=genbank&log$=nucltop&blast_rank=11&RID=44RNU00S013"",""NR_170509.1"")"
