Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Porphyromonas pasteri strain KUFDS01 16S ribosomal RNA, partial sequence",Porphyromonas pasteri,283,283,100%,3e-76,87.01,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136788.1?report=genbank&log$=nucltop&blast_rank=1&RID=44RUNFEM016"",""NR_136788.1"")"
"Muribaculum intestinale strain YL27 16S ribosomal RNA, partial sequence",Muribaculum intestinale,283,283,100%,3e-76,86.96,1460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144616.1?report=genbank&log$=nucltop&blast_rank=2&RID=44RUNFEM016"",""NR_144616.1"")"
"Bacteroides caecimuris strain I48 16S ribosomal RNA, partial sequence",Bacteroides caecimuris,283,283,100%,3e-76,87.06,1517,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144606.1?report=genbank&log$=nucltop&blast_rank=3&RID=44RUNFEM016"",""NR_144606.1"")"
"Bacteroides timonensis AP1 16S ribosomal RNA, partial sequence",Bacteroides timonensis AP1,278,278,100%,1e-74,86.67,1315,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144704.1?report=genbank&log$=nucltop&blast_rank=4&RID=44RUNFEM016"",""NR_144704.1"")"
"Bacteroides faecichinchillae JCM 17102 16S ribosomal RNA, partial sequence",Bacteroides faecichinchillae JCM 17102,278,278,100%,1e-74,86.67,1486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113206.1?report=genbank&log$=nucltop&blast_rank=5&RID=44RUNFEM016"",""NR_113206.1"")"
"Porphyromonas pogonae strain MI 10-1288 16S ribosomal RNA, partial sequence",Porphyromonas pogonae,278,278,100%,1e-74,86.77,1429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136443.1?report=genbank&log$=nucltop&blast_rank=6&RID=44RUNFEM016"",""NR_136443.1"")"
"Bacteroides thetaiotaomicron strain VPI-5482 16S ribosomal RNA, partial sequence",Bacteroides thetaiotaomicron,278,278,100%,1e-74,86.67,1483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_074277.1?report=genbank&log$=nucltop&blast_rank=7&RID=44RUNFEM016"",""NR_074277.1"")"
"Bacteroides cellulosilyticus DSM 14838 strain CRE21 16S ribosomal RNA, partial sequence",Bacteroides cellulosilyticus DSM 14838,278,278,100%,1e-74,86.67,1426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_042203.1?report=genbank&log$=nucltop&blast_rank=8&RID=44RUNFEM016"",""NR_042203.1"")"
"Bacteroides finegoldii strain 199 16S ribosomal RNA, partial sequence",Bacteroides finegoldii,278,278,100%,1e-74,86.67,1485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041313.1?report=genbank&log$=nucltop&blast_rank=9&RID=44RUNFEM016"",""NR_041313.1"")"
"Bacteroides xylanisolvens XB1A 16S ribosomal RNA, partial sequence",Bacteroides xylanisolvens XB1A,278,278,100%,1e-74,86.67,1368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_042499.1?report=genbank&log$=nucltop&blast_rank=10&RID=44RUNFEM016"",""NR_042499.1"")"
