Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Escherichia fergusonii strain NBRC 102419 16S ribosomal RNA, partial sequence",Escherichia fergusonii,451,451,100%,8e-127,98.81,1467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_114079.1?report=genbank&log$=nucltop&blast_rank=1&RID=4N04C8D101R"",""NR_114079.1"")"
"Shigella boydii strain P288 16S ribosomal RNA, partial sequence",Shigella boydii,451,451,100%,8e-127,98.81,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104901.1?report=genbank&log$=nucltop&blast_rank=2&RID=4N04C8D101R"",""NR_104901.1"")"
"Escherichia fergusonii ATCC 35469 16S ribosomal RNA, complete sequence",Escherichia fergusonii ATCC 35469,451,451,100%,8e-127,98.81,1542,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_074902.1?report=genbank&log$=nucltop&blast_rank=3&RID=4N04C8D101R"",""NR_074902.1"")"
"Pseudescherichia vulneris strain ATCC 33821 16S ribosomal RNA, partial sequence",Pseudescherichia vulneris,451,451,100%,8e-127,98.81,1443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119109.1?report=genbank&log$=nucltop&blast_rank=4&RID=4N04C8D101R"",""NR_119109.1"")"
"Escherichia marmotae strain HT073016 16S ribosomal RNA, partial sequence",Escherichia marmotae,451,451,100%,8e-127,98.81,1504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136472.1?report=genbank&log$=nucltop&blast_rank=5&RID=4N04C8D101R"",""NR_136472.1"")"
"Brenneria alni strain pvfi20 16S ribosomal RNA, partial sequence",Brenneria alni,451,451,100%,8e-127,98.81,1224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_116340.1?report=genbank&log$=nucltop&blast_rank=6&RID=4N04C8D101R"",""NR_116340.1"")"
"Escherichia fergusonii ATCC 35469 16S ribosomal RNA, partial sequence",Escherichia fergusonii ATCC 35469,451,451,100%,8e-127,98.81,1473,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_027549.1?report=genbank&log$=nucltop&blast_rank=7&RID=4N04C8D101R"",""NR_027549.1"")"
"Escherichia coli strain JCM 1649 16S ribosomal RNA, partial sequence",Escherichia coli,451,451,100%,8e-127,98.81,1110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112558.1?report=genbank&log$=nucltop&blast_rank=8&RID=4N04C8D101R"",""NR_112558.1"")"
"Shigella sonnei strain CECT 4887 16S ribosomal RNA, partial sequence",Shigella sonnei,451,451,100%,8e-127,98.81,1530,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104826.1?report=genbank&log$=nucltop&blast_rank=9&RID=4N04C8D101R"",""NR_104826.1"")"
"Shigella flexneri strain ATCC 29903 16S ribosomal RNA, partial sequence",Shigella flexneri,451,451,100%,8e-127,98.81,1488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026331.1?report=genbank&log$=nucltop&blast_rank=10&RID=4N04C8D101R"",""NR_026331.1"")"
"Escherichia coli strain U 5/41 16S ribosomal RNA, partial sequence",Escherichia coli,451,451,100%,8e-127,98.81,1450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_024570.1?report=genbank&log$=nucltop&blast_rank=11&RID=4N04C8D101R"",""NR_024570.1"")"
"Escherichia coli strain NBRC 102203 16S ribosomal RNA, partial sequence",Escherichia coli,448,448,100%,1e-125,98.42,1467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_114042.1?report=genbank&log$=nucltop&blast_rank=12&RID=4N04C8D101R"",""NR_114042.1"")"
"Pectobacterium carotovorum strain ATCC 15713 16S ribosomal RNA, partial sequence",Pectobacterium carotovorum,446,446,100%,4e-125,98.42,1223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_116341.1?report=genbank&log$=nucltop&blast_rank=13&RID=4N04C8D101R"",""NR_116341.1"")"
"Shigella dysenteriae strain ATCC 13313 16S ribosomal RNA, partial sequence",Shigella dysenteriae,446,446,100%,4e-125,98.42,1487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026332.1?report=genbank&log$=nucltop&blast_rank=14&RID=4N04C8D101R"",""NR_026332.1"")"
