Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Lachnoclostridium pacaense strain Marseille-P3100 16S ribosomal RNA, partial sequence",Lachnoclostridium pacaense,377,580,99%,2e-104,93.65,1453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_147396.1?report=genbank&log$=nucltop&blast_rank=1&RID=8SD7D24101N"",""NR_147396.1"")"
"[Clostridium] aldenense strain RMA 9741 16S ribosomal RNA, partial sequence",Enterocloster aldenensis,377,580,99%,2e-104,93.65,1395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_043680.1?report=genbank&log$=nucltop&blast_rank=2&RID=8SD7D24101N"",""NR_043680.1"")"
"[Clostridium] indolis strain 7 16S ribosomal RNA, partial sequence",Lacrimispora indolis,377,580,99%,2e-104,93.65,1488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026493.1?report=genbank&log$=nucltop&blast_rank=3&RID=8SD7D24101N"",""NR_026493.1"")"
"[Clostridium] amygdalinum strain BR-10 16S ribosomal RNA, partial sequence",Lacrimispora amygdalina,372,574,99%,9e-103,93.25,1485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_115211.1?report=genbank&log$=nucltop&blast_rank=4&RID=8SD7D24101N"",""NR_115211.1"")"
"[Clostridium] methoxybenzovorans SR3 16S ribosomal RNA, partial sequence",[Clostridium] methoxybenzovorans SR3,372,574,99%,9e-103,93.25,1514,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_024917.1?report=genbank&log$=nucltop&blast_rank=5&RID=8SD7D24101N"",""NR_024917.1"")"
"Bacteroides xylanolyticus strain X5-1 16S ribosomal RNA, partial sequence",Hungatella xylanolytica,366,569,99%,4e-101,92.86,1480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104899.1?report=genbank&log$=nucltop&blast_rank=6&RID=8SD7D24101N"",""NR_104899.1"")"
"[Clostridium] saccharolyticum strain WM1 16S ribosomal RNA, partial sequence",Lacrimispora saccharolytica,366,569,99%,4e-101,92.89,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_102852.1?report=genbank&log$=nucltop&blast_rank=7&RID=8SD7D24101N"",""NR_102852.1"")"
"[Clostridium] saccharolyticum strain WM1 16S ribosomal RNA, partial sequence",Lacrimispora saccharolytica,366,569,99%,4e-101,92.89,1499,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026494.1?report=genbank&log$=nucltop&blast_rank=8&RID=8SD7D24101N"",""NR_026494.1"")"
"[Clostridium] sphenoides JCM 1415 strain ATCC 19403 16S ribosomal RNA, partial sequence",[Clostridium] sphenoides JCM 1415,361,563,99%,2e-99,92.49,1504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112174.1?report=genbank&log$=nucltop&blast_rank=9&RID=8SD7D24101N"",""NR_112174.1"")"
"[Clostridium] celerecrescens 18A 16S ribosomal RNA, partial sequence",[Clostridium] celerecrescens 18A,361,563,99%,2e-99,92.49,1215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112654.1?report=genbank&log$=nucltop&blast_rank=10&RID=8SD7D24101N"",""NR_112654.1"")"
