Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"[Clostridium] aldenense strain RMA 9741 16S ribosomal RNA, partial sequence",Enterocloster aldenensis,396,396,100%,4e-110,94.86,1395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_043680.1?report=genbank&log$=nucltop&blast_rank=1&RID=8SD4NB2Y01N"",""NR_043680.1"")"
"Kineothrix alysoides strain KNHs209 16S ribosomal RNA, partial sequence",Kineothrix alysoides,396,396,100%,4e-110,94.86,1411,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156081.1?report=genbank&log$=nucltop&blast_rank=2&RID=8SD4NB2Y01N"",""NR_156081.1"")"
"Kineothrix alysoides strain KNHs209 16S ribosomal RNA, partial sequence",Kineothrix alysoides,396,396,100%,4e-110,94.86,1412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156079.1?report=genbank&log$=nucltop&blast_rank=3&RID=8SD4NB2Y01N"",""NR_156079.1"")"
"Kineothrix alysoides strain KNHs209 16S ribosomal RNA, partial sequence",Kineothrix alysoides,396,396,100%,4e-110,94.86,1412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156078.1?report=genbank&log$=nucltop&blast_rank=4&RID=8SD4NB2Y01N"",""NR_156078.1"")"
"[Clostridium] aerotolerans strain DSM 5434 16S ribosomal RNA, partial sequence",Lacrimispora aerotolerans,394,394,100%,1e-109,94.86,1470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119068.1?report=genbank&log$=nucltop&blast_rank=5&RID=8SD4NB2Y01N"",""NR_119068.1"")"
"[Clostridium] sphenoides JCM 1415 strain ATCC 19403 16S ribosomal RNA, partial sequence",[Clostridium] sphenoides JCM 1415,390,390,100%,2e-108,94.47,1504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112174.1?report=genbank&log$=nucltop&blast_rank=6&RID=8SD4NB2Y01N"",""NR_112174.1"")"
"[Clostridium] celerecrescens 18A 16S ribosomal RNA, partial sequence",[Clostridium] celerecrescens 18A,390,390,100%,2e-108,94.47,1215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112654.1?report=genbank&log$=nucltop&blast_rank=7&RID=8SD4NB2Y01N"",""NR_112654.1"")"
"[Clostridium] saccharolyticum strain WM1 16S ribosomal RNA, partial sequence",Lacrimispora saccharolytica,390,390,100%,2e-108,94.47,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_102852.1?report=genbank&log$=nucltop&blast_rank=8&RID=8SD4NB2Y01N"",""NR_102852.1"")"
"Kineothrix alysoides strain KNHs209 16S ribosomal RNA, partial sequence",Kineothrix alysoides,390,390,100%,2e-108,94.47,1410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156080.1?report=genbank&log$=nucltop&blast_rank=9&RID=8SD4NB2Y01N"",""NR_156080.1"")"
"Kineothrix alysoides strain KNHs209 16S ribosomal RNA, partial sequence",Kineothrix alysoides,390,390,100%,2e-108,94.47,1412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156077.1?report=genbank&log$=nucltop&blast_rank=10&RID=8SD4NB2Y01N"",""NR_156077.1"")"
