Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Muribaculum intestinale strain YL27 16S ribosomal RNA, partial sequence",Muribaculum intestinale,315,315,99%,1e-85,89.24,1460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144616.1?report=genbank&log$=nucltop&blast_rank=1&RID=44RWUJPW013"",""NR_144616.1"")"
"Porphyromonas pasteri strain KUFDS01 16S ribosomal RNA, partial sequence",Porphyromonas pasteri,276,276,99%,5e-74,86.61,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136788.1?report=genbank&log$=nucltop&blast_rank=2&RID=44RWUJPW013"",""NR_136788.1"")"
"Porphyromonas catoniae ATCC 51270 strain JCM 13863 16S ribosomal RNA, partial sequence",Porphyromonas catoniae ATCC 51270,270,270,99%,2e-72,86.22,1451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113082.1?report=genbank&log$=nucltop&blast_rank=3&RID=44RWUJPW013"",""NR_113082.1"")"
"Porphyromonas catoniae ATCC 51270 16S ribosomal RNA, partial sequence",Porphyromonas catoniae ATCC 51270,267,267,99%,3e-71,85.83,1470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026230.1?report=genbank&log$=nucltop&blast_rank=4&RID=44RWUJPW013"",""NR_026230.1"")"
"Porphyromonas pogonae strain MI 10-1288 16S ribosomal RNA, partial sequence",Porphyromonas pogonae,265,265,99%,1e-70,85.94,1429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136443.1?report=genbank&log$=nucltop&blast_rank=5&RID=44RWUJPW013"",""NR_136443.1"")"
"Rufibacter soli strain FJY1 16S ribosomal RNA, partial sequence",Rufibacter soli,259,259,99%,5e-69,85.55,1444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_169379.1?report=genbank&log$=nucltop&blast_rank=6&RID=44RWUJPW013"",""NR_169379.1"")"
"Rufibacter glacialis strain MDT1-10-3 16S ribosomal RNA, partial sequence",Rufibacter glacialis,254,254,99%,2e-67,85.16,1460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_147754.1?report=genbank&log$=nucltop&blast_rank=7&RID=44RWUJPW013"",""NR_147754.1"")"
"Barnesiella viscericola strain C46 16S ribosomal RNA, complete sequence",Barnesiella viscericola,248,248,99%,1e-65,84.71,1532,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_121773.2?report=genbank&log$=nucltop&blast_rank=8&RID=44RWUJPW013"",""NR_121773.2"")"
"Coprobacter secundus strain 177 16S ribosomal RNA, partial sequence",Coprobacter secundus,248,248,99%,1e-65,84.65,1290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_145883.1?report=genbank&log$=nucltop&blast_rank=9&RID=44RWUJPW013"",""NR_145883.1"")"
"Gabonia massiliensis strain GM3 16S ribosomal RNA, partial sequence",Gabonia massiliensis,248,248,99%,1e-65,84.65,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144725.1?report=genbank&log$=nucltop&blast_rank=10&RID=44RWUJPW013"",""NR_144725.1"")"
"Pontibacter humi strain SWU8 16S ribosomal RNA, partial sequence",Pontibacter humi,248,248,99%,1e-65,84.82,1447,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_134791.1?report=genbank&log$=nucltop&blast_rank=11&RID=44RWUJPW013"",""NR_134791.1"")"
"Duncaniella freteri strain TLL-A3 16S ribosomal RNA, partial sequence",Duncaniella freteri,248,248,99%,1e-65,84.65,1538,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_170509.1?report=genbank&log$=nucltop&blast_rank=12&RID=44RWUJPW013"",""NR_170509.1"")"
"Rufibacter ruber strain CCM 8646 16S ribosomal RNA, partial sequence",Rufibacter ruber,243,243,99%,5e-64,84.44,1500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_152665.1?report=genbank&log$=nucltop&blast_rank=13&RID=44RWUJPW013"",""NR_152665.1"")"
"Falsiporphyromonas endometrii strain LMM 40 16S ribosomal RNA, partial sequence",Falsiporphyromonas endometrii,243,243,99%,5e-64,84.31,1459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_133742.1?report=genbank&log$=nucltop&blast_rank=14&RID=44RWUJPW013"",""NR_133742.1"")"
"Rufibacter quisquiliarum strain CAI-18b 16S ribosomal RNA, partial sequence",Rufibacter quisquiliarum,243,243,99%,5e-64,84.44,1434,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_153696.1?report=genbank&log$=nucltop&blast_rank=15&RID=44RWUJPW013"",""NR_153696.1"")"
"Rufibacter sediminis strain H-1 16S ribosomal RNA, partial sequence",Rufibacter sediminis,243,243,99%,5e-64,84.44,1385,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_171461.1?report=genbank&log$=nucltop&blast_rank=16&RID=44RWUJPW013"",""NR_171461.1"")"
"Parabacteroides distasonis ATCC 8503 16S ribosomal RNA, partial sequence",Parabacteroides distasonis ATCC 8503,243,243,99%,5e-64,84.31,1497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_074376.1?report=genbank&log$=nucltop&blast_rank=17&RID=44RWUJPW013"",""NR_074376.1"")"
"Rufibacter tibetensis strain 1351 16S ribosomal RNA, partial sequence",Rufibacter tibetensis,243,243,99%,5e-64,84.44,1411,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_116350.1?report=genbank&log$=nucltop&blast_rank=18&RID=44RWUJPW013"",""NR_116350.1"")"
"Parabacteroides distasonis strain JCM 5825 16S ribosomal RNA, partial sequence",Parabacteroides distasonis,243,243,99%,5e-64,84.31,1488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041342.1?report=genbank&log$=nucltop&blast_rank=19&RID=44RWUJPW013"",""NR_041342.1"")"
"Pontibacter akesuensis strain AKS 1 16S ribosomal RNA, partial sequence",Pontibacter akesuensis,243,243,99%,5e-64,84.31,1408,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_043930.1?report=genbank&log$=nucltop&blast_rank=20&RID=44RWUJPW013"",""NR_043930.1"")"
"Barnesiella viscericola strain C46 16S ribosomal RNA, partial sequence",Barnesiella viscericola,243,243,99%,5e-64,84.31,1461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041508.1?report=genbank&log$=nucltop&blast_rank=21&RID=44RWUJPW013"",""NR_041508.1"")"
"Barnesiella intestinihominis strain JCM 15079 16S ribosomal RNA, partial sequence",Barnesiella intestinihominis,243,243,99%,5e-64,84.19,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113073.1?report=genbank&log$=nucltop&blast_rank=22&RID=44RWUJPW013"",""NR_113073.1"")"
"Barnesiella intestinihominis YIT 11860 16S ribosomal RNA, partial sequence",Barnesiella intestinihominis YIT 11860,243,243,99%,5e-64,84.19,1484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041668.1?report=genbank&log$=nucltop&blast_rank=23&RID=44RWUJPW013"",""NR_041668.1"")"
"Pontibacter yuliensis strain H9X 16S ribosomal RNA, partial sequence",Pontibacter yuliensis,237,237,99%,2e-62,84.05,1390,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_133825.1?report=genbank&log$=nucltop&blast_rank=24&RID=44RWUJPW013"",""NR_133825.1"")"
"Pontibacter toksunensis strain ZLD-7 16S ribosomal RNA, partial sequence",Pontibacter toksunensis,237,237,99%,2e-62,84.05,1412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_135706.1?report=genbank&log$=nucltop&blast_rank=25&RID=44RWUJPW013"",""NR_135706.1"")"
"Pontibacter saemangeumensis strain GCM0142 16S ribosomal RNA, partial sequence",Pontibacter saemangeumensis,237,237,99%,2e-62,84.05,1372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109499.1?report=genbank&log$=nucltop&blast_rank=26&RID=44RWUJPW013"",""NR_109499.1"")"
"Pontibacter indicus strain LP100 16S ribosomal RNA, partial sequence",Pontibacter indicus,237,237,99%,2e-62,83.98,1426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_125665.1?report=genbank&log$=nucltop&blast_rank=27&RID=44RWUJPW013"",""NR_125665.1"")"
"Pontibacter rugosus strain KYW1030 16S ribosomal RNA, partial sequence",Pontibacter rugosus,237,237,99%,2e-62,83.86,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_152663.1?report=genbank&log$=nucltop&blast_rank=28&RID=44RWUJPW013"",""NR_152663.1"")"
"Pontibacter amylolyticus strain 9-2 16S ribosomal RNA, partial sequence",Pontibacter amylolyticus,237,237,99%,2e-62,83.98,1446,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_148858.1?report=genbank&log$=nucltop&blast_rank=29&RID=44RWUJPW013"",""NR_148858.1"")"
"Nibribacter koreensis strain GSR3061 16S ribosomal RNA, partial sequence",Nibribacter koreensis,231,231,99%,1e-60,83.46,1350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109492.1?report=genbank&log$=nucltop&blast_rank=30&RID=44RWUJPW013"",""NR_109492.1"")"
"Pontibacter lucknowensis strain DM9 16S ribosomal RNA, partial sequence",Pontibacter lucknowensis,231,231,99%,1e-60,83.59,1400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109478.1?report=genbank&log$=nucltop&blast_rank=31&RID=44RWUJPW013"",""NR_109478.1"")"
"Pontibacter ramchanderi strain LP43 16S ribosomal RNA, partial sequence",Pontibacter ramchanderi,231,231,99%,1e-60,83.59,1401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109634.1?report=genbank&log$=nucltop&blast_rank=32&RID=44RWUJPW013"",""NR_109634.1"")"
"Fulvitalea axinellae strain VI.18 16S ribosomal RNA, partial sequence",Fulvitalea axinellae,231,231,99%,1e-60,83.46,1244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109512.1?report=genbank&log$=nucltop&blast_rank=33&RID=44RWUJPW013"",""NR_109512.1"")"
"Pontibacter ummariensis strain NKM1 16S ribosomal RNA, partial sequence",Pontibacter ummariensis,231,231,99%,1e-60,83.53,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_148654.1?report=genbank&log$=nucltop&blast_rank=34&RID=44RWUJPW013"",""NR_148654.1"")"
"Pontibacter virosus strain W14 16S ribosomal RNA, partial sequence",Pontibacter virosus,231,231,99%,1e-60,83.59,1430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_152664.1?report=genbank&log$=nucltop&blast_rank=35&RID=44RWUJPW013"",""NR_152664.1"")"
"Pontibacter salisaro strain HMC5104 16S ribosomal RNA, partial sequence",Pontibacter salisaro,231,231,99%,1e-60,83.59,1401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_116853.1?report=genbank&log$=nucltop&blast_rank=36&RID=44RWUJPW013"",""NR_116853.1"")"
"Pontibacter beigongshangensis strain T6-1 16S ribosomal RNA, partial sequence",Pontibacter beigongshangensis,226,226,99%,5e-59,83.20,1443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_165736.1?report=genbank&log$=nucltop&blast_rank=37&RID=44RWUJPW013"",""NR_165736.1"")"
"Pontibacter diazotrophicus strain H4X 16S ribosomal RNA, partial sequence",Pontibacter diazotrophicus,226,226,99%,5e-59,83.27,1445,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_126288.1?report=genbank&log$=nucltop&blast_rank=38&RID=44RWUJPW013"",""NR_126288.1"")"
"Pontibacter oryzae strain KIRAN 16S ribosomal RNA, partial sequence",Pontibacter oryzae,226,226,99%,5e-59,83.14,1437,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_164989.1?report=genbank&log$=nucltop&blast_rank=39&RID=44RWUJPW013"",""NR_164989.1"")"
"Pontibacter odishensis strain JC130 16S ribosomal RNA, partial sequence",Pontibacter odishensis,226,226,99%,5e-59,83.07,1396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_135718.1?report=genbank&log$=nucltop&blast_rank=40&RID=44RWUJPW013"",""NR_135718.1"")"
"Pontibacter aurantiacus strain NP1 16S ribosomal RNA, partial sequence",Pontibacter aurantiacus,226,226,99%,5e-59,83.07,1459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156895.1?report=genbank&log$=nucltop&blast_rank=41&RID=44RWUJPW013"",""NR_156895.1"")"
"Pontibacter jeungdoensis strain HMD3125 16S ribosomal RNA, partial sequence",Pontibacter jeungdoensis,226,226,99%,5e-59,83.20,1399,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_132696.1?report=genbank&log$=nucltop&blast_rank=42&RID=44RWUJPW013"",""NR_132696.1"")"
"Pontibacter litorisediminis strain YKTF-7 16S ribosomal RNA, partial sequence",Pontibacter litorisediminis,226,226,99%,5e-59,83.14,1445,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_152045.1?report=genbank&log$=nucltop&blast_rank=43&RID=44RWUJPW013"",""NR_152045.1"")"
"Pontibacter actiniarum DSM 19842 strain KMM 6156 16S ribosomal RNA, partial sequence",Pontibacter actiniarum DSM 19842,222,222,99%,6e-58,82.68,1435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_043326.1?report=genbank&log$=nucltop&blast_rank=44&RID=44RWUJPW013"",""NR_043326.1"")"
"Parabacteroides chartae strain NS31-3 16S ribosomal RNA, partial sequence",Parabacteroides chartae,220,220,99%,2e-57,82.68,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109439.1?report=genbank&log$=nucltop&blast_rank=45&RID=44RWUJPW013"",""NR_109439.1"")"
"Pontibacter mucosus strain PB3 16S ribosomal RNA, partial sequence",Pontibacter mucosus,220,220,99%,2e-57,82.68,1432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_149281.1?report=genbank&log$=nucltop&blast_rank=46&RID=44RWUJPW013"",""NR_149281.1"")"
"Pedobacter nanyangensis strain Q-4 16S ribosomal RNA, partial sequence",Pedobacter nanyangensis,220,220,99%,2e-57,82.68,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_137392.1?report=genbank&log$=nucltop&blast_rank=47&RID=44RWUJPW013"",""NR_137392.1"")"
"Porphyromonas crevioricanis strain NUM 402 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,220,220,99%,2e-57,82.68,1454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104834.1?report=genbank&log$=nucltop&blast_rank=48&RID=44RWUJPW013"",""NR_104834.1"")"
"Porphyromonas gingivicanis strain NUM 301 16S ribosomal RNA, partial sequence",Porphyromonas gingivicanis,220,220,99%,2e-57,82.75,1457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104833.1?report=genbank&log$=nucltop&blast_rank=49&RID=44RWUJPW013"",""NR_104833.1"")"
"Pontibacter chinhatensis strain LP51 16S ribosomal RNA, partial sequence",Pontibacter chinhatensis,220,220,99%,2e-57,82.68,1435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136486.1?report=genbank&log$=nucltop&blast_rank=50&RID=44RWUJPW013"",""NR_136486.1"")"
"Williamwhitmania taraxaci strain A7P-90m 16S ribosomal RNA, partial sequence",Williamwhitmania taraxaci,220,220,99%,2e-57,82.81,1390,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_158100.1?report=genbank&log$=nucltop&blast_rank=51&RID=44RWUJPW013"",""NR_158100.1"")"
"Parabacteroides chinchillae strain JCM 17104 16S ribosomal RNA, partial sequence",Parabacteroides chinchillae,220,220,99%,2e-57,82.75,1489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113208.1?report=genbank&log$=nucltop&blast_rank=52&RID=44RWUJPW013"",""NR_113208.1"")"
"Macellibacteroides fermentans strain LIND7H 16S ribosomal RNA, partial sequence",Macellibacteroides fermentans,220,220,99%,2e-57,82.68,1502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_117913.1?report=genbank&log$=nucltop&blast_rank=53&RID=44RWUJPW013"",""NR_117913.1"")"
"Porphyromonas somerae DSM 23386 16S ribosomal RNA, partial sequence",Porphyromonas somerae DSM 23386,220,220,99%,2e-57,82.81,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_043312.1?report=genbank&log$=nucltop&blast_rank=54&RID=44RWUJPW013"",""NR_043312.1"")"
"Porphyromonas crevioricanis strain ATCC 55563 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,220,220,99%,2e-57,82.68,1261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_115856.1?report=genbank&log$=nucltop&blast_rank=55&RID=44RWUJPW013"",""NR_115856.1"")"
"Porphyromonas gingivicanis strain ATCC 55562 16S ribosomal RNA, partial sequence",Porphyromonas gingivicanis,220,220,99%,2e-57,82.75,1228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_115855.1?report=genbank&log$=nucltop&blast_rank=56&RID=44RWUJPW013"",""NR_115855.1"")"
"Porphyromonas crevioricanis strain VPB 4875 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,220,220,99%,2e-57,82.68,1483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026137.1?report=genbank&log$=nucltop&blast_rank=57&RID=44RWUJPW013"",""NR_026137.1"")"
"Porphyromonas somerae DSM 23386 strain JCM 13867 16S ribosomal RNA, partial sequence",Porphyromonas somerae DSM 23386,220,220,99%,2e-57,82.81,1486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113090.1?report=genbank&log$=nucltop&blast_rank=58&RID=44RWUJPW013"",""NR_113090.1"")"
"Porphyromonas gingivicanis strain JCM 15907 16S ribosomal RNA, partial sequence",Porphyromonas gingivicanis,220,220,99%,2e-57,82.75,1494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113087.1?report=genbank&log$=nucltop&blast_rank=59&RID=44RWUJPW013"",""NR_113087.1"")"
"Porphyromonas crevioricanis strain JCM 15906 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,220,220,99%,2e-57,82.68,1492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113084.1?report=genbank&log$=nucltop&blast_rank=60&RID=44RWUJPW013"",""NR_113084.1"")"
"Porphyromonas circumdentaria strain JCM 13864 16S ribosomal RNA, partial sequence",Porphyromonas circumdentaria,220,220,99%,2e-57,82.75,1476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113083.1?report=genbank&log$=nucltop&blast_rank=61&RID=44RWUJPW013"",""NR_113083.1"")"
"Porphyromonas crevioricanis strain JCM 13913 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,220,220,99%,2e-57,82.68,1492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113081.1?report=genbank&log$=nucltop&blast_rank=62&RID=44RWUJPW013"",""NR_113081.1"")"
"Pontibacter niistensis strain NII-0905 16S ribosomal RNA, partial sequence",Pontibacter niistensis,220,220,99%,2e-57,82.68,1439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_116852.1?report=genbank&log$=nucltop&blast_rank=63&RID=44RWUJPW013"",""NR_116852.1"")"
"Porphyromonas gingivicanis strain ATCC 55562 16S ribosomal RNA, partial sequence",Porphyromonas gingivicanis,220,220,99%,2e-57,82.75,1423,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112782.1?report=genbank&log$=nucltop&blast_rank=64&RID=44RWUJPW013"",""NR_112782.1"")"
