Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Muribaculum intestinale strain YL27 16S ribosomal RNA, partial sequence",Muribaculum intestinale,366,366,100%,3e-101,92.89,1460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144616.1?report=genbank&log$=nucltop&blast_rank=1&RID=44S26TUS013"",""NR_144616.1"")"
"Duncaniella freteri strain TLL-A3 16S ribosomal RNA, partial sequence",Duncaniella freteri,294,294,100%,1e-79,87.75,1538,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_170509.1?report=genbank&log$=nucltop&blast_rank=2&RID=44S26TUS013"",""NR_170509.1"")"
"Porphyromonas pogonae strain MI 10-1288 16S ribosomal RNA, partial sequence",Porphyromonas pogonae,285,285,100%,8e-77,87.06,1429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136443.1?report=genbank&log$=nucltop&blast_rank=3&RID=44S26TUS013"",""NR_136443.1"")"
"Coprobacter secundus strain 177 16S ribosomal RNA, partial sequence",Coprobacter secundus,279,279,100%,4e-75,86.61,1290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_145883.1?report=genbank&log$=nucltop&blast_rank=4&RID=44S26TUS013"",""NR_145883.1"")"
"Gabonia massiliensis strain GM3 16S ribosomal RNA, partial sequence",Gabonia massiliensis,279,279,100%,4e-75,86.61,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144725.1?report=genbank&log$=nucltop&blast_rank=5&RID=44S26TUS013"",""NR_144725.1"")"
"Barnesiella viscericola strain C46 16S ribosomal RNA, complete sequence",Barnesiella viscericola,274,274,100%,2e-73,86.22,1532,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_121773.2?report=genbank&log$=nucltop&blast_rank=6&RID=44S26TUS013"",""NR_121773.2"")"
"Porphyromonas pasteri strain KUFDS01 16S ribosomal RNA, partial sequence",Porphyromonas pasteri,274,274,100%,2e-73,86.27,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136788.1?report=genbank&log$=nucltop&blast_rank=7&RID=44S26TUS013"",""NR_136788.1"")"
"Barnesiella intestinihominis strain JCM 15079 16S ribosomal RNA, partial sequence",Barnesiella intestinihominis,274,274,100%,2e-73,86.22,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113073.1?report=genbank&log$=nucltop&blast_rank=8&RID=44S26TUS013"",""NR_113073.1"")"
"Barnesiella intestinihominis YIT 11860 16S ribosomal RNA, partial sequence",Barnesiella intestinihominis YIT 11860,274,274,100%,2e-73,86.22,1484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041668.1?report=genbank&log$=nucltop&blast_rank=9&RID=44S26TUS013"",""NR_041668.1"")"
"Parabacteroides distasonis ATCC 8503 16S ribosomal RNA, partial sequence",Parabacteroides distasonis ATCC 8503,268,268,100%,8e-72,85.94,1497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_074376.1?report=genbank&log$=nucltop&blast_rank=10&RID=44S26TUS013"",""NR_074376.1"")"
"Parabacteroides distasonis strain JCM 5825 16S ribosomal RNA, partial sequence",Parabacteroides distasonis,268,268,100%,8e-72,85.94,1488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041342.1?report=genbank&log$=nucltop&blast_rank=11&RID=44S26TUS013"",""NR_041342.1"")"
"Porphyromonas catoniae ATCC 51270 strain JCM 13863 16S ribosomal RNA, partial sequence",Porphyromonas catoniae ATCC 51270,268,268,100%,8e-72,85.88,1451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113082.1?report=genbank&log$=nucltop&blast_rank=12&RID=44S26TUS013"",""NR_113082.1"")"
"Barnesiella viscericola strain C46 16S ribosomal RNA, partial sequence",Barnesiella viscericola,267,267,100%,3e-71,85.83,1461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041508.1?report=genbank&log$=nucltop&blast_rank=13&RID=44S26TUS013"",""NR_041508.1"")"
"Porphyromonas catoniae ATCC 51270 16S ribosomal RNA, partial sequence",Porphyromonas catoniae ATCC 51270,265,265,100%,1e-70,85.49,1470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026230.1?report=genbank&log$=nucltop&blast_rank=14&RID=44S26TUS013"",""NR_026230.1"")"
"Pontibacter indicus strain LP100 16S ribosomal RNA, partial sequence",Pontibacter indicus,257,257,100%,2e-68,85.27,1426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_125665.1?report=genbank&log$=nucltop&blast_rank=15&RID=44S26TUS013"",""NR_125665.1"")"
"Pontibacter amylolyticus strain 9-2 16S ribosomal RNA, partial sequence",Pontibacter amylolyticus,257,257,100%,2e-68,85.27,1446,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_148858.1?report=genbank&log$=nucltop&blast_rank=16&RID=44S26TUS013"",""NR_148858.1"")"
"Pontibacter lucknowensis strain DM9 16S ribosomal RNA, partial sequence",Pontibacter lucknowensis,252,252,100%,8e-67,84.94,1400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109478.1?report=genbank&log$=nucltop&blast_rank=17&RID=44S26TUS013"",""NR_109478.1"")"
"Pontibacter ramchanderi strain LP43 16S ribosomal RNA, partial sequence",Pontibacter ramchanderi,252,252,100%,8e-67,84.94,1401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109634.1?report=genbank&log$=nucltop&blast_rank=18&RID=44S26TUS013"",""NR_109634.1"")"
"Pontibacter virosus strain W14 16S ribosomal RNA, partial sequence",Pontibacter virosus,252,252,100%,8e-67,84.94,1430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_152664.1?report=genbank&log$=nucltop&blast_rank=19&RID=44S26TUS013"",""NR_152664.1"")"
"Pontibacter salisaro strain HMC5104 16S ribosomal RNA, partial sequence",Pontibacter salisaro,252,252,100%,8e-67,84.94,1401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_116853.1?report=genbank&log$=nucltop&blast_rank=20&RID=44S26TUS013"",""NR_116853.1"")"
"Parabacteroides chongii strain YMC B3181 16S ribosomal RNA, partial sequence",Parabacteroides chongii,246,246,100%,4e-65,84.25,1523,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_165699.1?report=genbank&log$=nucltop&blast_rank=21&RID=44S26TUS013"",""NR_165699.1"")"
